Formula,temperature,power_factor,ZT
Ca0.98Bi0.02Mn0.98Nb0.02O3.0,300,0.0000492,0.00588
Ca0.96Bi0.04Mn0.96Nb0.04O3.0,300,0.0000938,0.01
Ca1.0Mn0.98Nb0.02O3.0,300,0.000162,0.02
Ca1.0Gd0.96Mn0.04O3.0,300,0.000177,0.03
Ca1.0Gd0.94Mn0.06O3.0,300,0.0000748,0.00787
Ca0.9Tb0.1Mn1.0O3.0,300,0.0000976,0.02
Ca0.7Tb0.3Mn1.0O3.0,300,0.0000353,0.00488
Ca0.9Ho0.1Mn1.0O3.0,300,0.0000775,0.01
Ca0.7Ho0.3Mn1.0O3.0,300,0.0000373,0.00522
Ca0.9Y0.1Mn1.0O3.0,300,0.000114,0.02
Ca0.7Y0.3Mn1.0O3.0,300,0.0000227,0.0038
Ca1.0Mn1.0O3.0,300,0.00014,0.01
Ca1.0Yb0.05Mn0.95O3.0,300,0.00013,0.03
Ca1.0Yb0.1Mn0.9O3.0,300,0.0000715,0.01
Ca1.0Yb0.15Mn0.85O3.0,300,0.0000435,0.00793
Sm1.7Ca0.3Mn1.0O3.0,300,0.00000194,0.000528
Sm0.5Ca0.5Mn1.0O3.0,300,0.0000111,0.00175
Ca1.0Mn1.0O3.0,300,0.000448,0.00828
Ca0.9Bi0.1Mn1.0O3.0,300,0.000184,0.02
Ca1.0Mn1.0O3.0,300,0.00000326,0.000327
In2.0O3.0,300,0.00018,0.00559
In1.998Ge0.002O3.0,300,0.000373,0.01
In1.994Ge0.006O3.0,300,0.000304,0.0094
In1.985Ge0.015O3.0,300,0.000302,0.00963
In1.94Ge0.06O3.0,300,0.000288,0.00974
In1.9Ge0.1O3.0,300,0.000215,0.00941
In1.8Ge0.2O3.0,300,0.0000953,0.00883
Sr2.0Ti0.8Nb0.2O4.0,300,0.0000603,0.00414
Sr3.0Ti1.6Nb0.4O7.0,300,0.0000967,0.00585
Sr1.0Ti0.8Nb0.2O3.0,300,0.000187,0.00539
Sr0.9La0.1Ti1.0O3.0,300,0.000364,0.02
Sr1.0Ti0.8Nb0.2O3.0,300,0.0000874,0.0033
Zn1.0O1.0,300,0.0000349,0.000215
Zn0.995Al0.005O1.0,300,0.000422,0.00284
Zn0.99Al0.01O1.0,300,0.00116,0.00783
Zn0.98Al0.02O1.0,300,0.00158,0.01
Zn0.95Al0.05O1.0,300,0.00232,0.02
Sr1.0Nb0.15Ti0.85O3.0,300,3.12E-08,0.00000159
Sr0.9Y0.1Ti1.0O3.0,300,0.000975,0.04
Ba0.3Sr0.6La0.1Ti1.0O3.0,300,0.00137,0.1
Zn0.9975Al0.0025O1.0,300,0.0000149,0.0016
Bi2.0Sr2.0Co2.0O8.0,300,0.000558,0.08
Ca2.0Co2.0O5.0,300,0.00124,0.16
La1.0Co1.0O3.0,300,0.00000197,0.000315
La0.99Sr0.01Co1.0O3.0,300,0.0000994,0.02
La0.98Sr0.02Co1.0O3.0,300,0.000157,0.03
La0.95Sr0.05Co1.0O3.0,300,0.000289,0.05
